C,32,242,188,160,209,208,7,0,0,0,194,0,0,0,0,210,0,0,0,0,156,200,144,146,151,127,122
C,11,56,45,49,44,58,0,0,0,0,49,0,0,0,0,60,0,0,0,0,24,55,39,46,45,126,116
C,19,59,50,56,56,64,0,0,0,0,56,0,0,0,0,64,0,0,0,0,23,64,44,43,44,142,125
C,20,66,49,54,50,68,0,0,0,0,57,0,0,0,0,65,0,0,0,0,27,56,48,52,50,151,124
B,72,38,39,28,0,64,0,4,63,0,70,38,60,46,6,63,0,0,5,59,69,33,30,39,35,153,74
C,22,60,47,49,45,61,0,0,0,0,53,0,0,0,0,68,0,0,0,0,17,57,48,53,43,135,113
B,73,39,48,34,0,60,0,23,49,0,74,59,61,40,42,61,0,0,0,54,75,39,30,41,28,155,94
B,75,33,57,19,0,52,0,9,55,0,65,43,65,37,48,51,6,0,0,59,26,50,41,44,14,148,90
B,80,37,55,16,0,62,0,12,65,0,83,43,53,53,17,68,0,0,0,62,65,34,34,41,40,166,84
A,0,60,63,0,0,0,71,47,23,0,8,90,44,91,0,62,11,0,29,46,59,0,0,0,64,163,116
A,0,0,111,7,0,0,51,34,67,0,4,91,48,94,3,66,8,0,11,58,55,0,0,0,65,163,120
D,81,48,44,25,0,63,0,0,49,35,66,0,0,0,68,69,0,0,8,70,85,44,41,38,2,180,94
B,88,38,46,38,0,61,0,9,69,0,84,52,68,39,38,60,0,0,0,64,76,39,32,34,38,190,85
A,0,50,68,0,0,1,56,42,22,0,44,60,42,78,0,56,0,0,23,40,48,0,0,0,52,140,98
A,0,0,71,33,0,0,29,34,60,0,0,66,24,69,0,38,50,14,33,42,52,0,0,0,52,144,94
A,0,0,71,33,0,0,29,34,60,0,0,66,24,69,0,38,50,14,33,42,52,0,0,0,52,144,94
A,0,2,93,39,0,0,64,9,69,0,7,61,15,92,8,64,45,28,14,54,67,0,0,0,65,171,104
A,0,2,90,14,0,0,55,14,64,0,4,66,28,65,18,59,28,14,15,61,41,0,0,0,51,146,100
A,0,47,71,3,0,0,61,9,59,0,17,68,40,68,15,60,1,0,1,61,52,0,0,0,49,144,102
A,0,34,80,0,0,0,67,24,44,0,7,87,43,81,0,56,11,0,31,40,56,0,0,0,64,155,103
D,64,33,34,31,3,56,0,0,9,53,56,0,0,0,50,56,0,0,26,36,56,34,33,24,0,138,72
Z,41,41,40,40,81,0,0,0,52,18,0,0,44,25,0,1,55,17,0,0,65,40,30,30,24,137,101
F,76,28,28,28,28,58,3,2,0,0,69,28,19,0,0,64,0,0,0,0,58,0,0,0,0,159,71
P,71,36,26,39,36,46,24,9,22,69,32,51,17,9,0,35,33,0,0,0,44,15,0,0,0,163,65
P,75,26,25,36,34,61,7,16,26,52,72,19,11,2,0,64,0,0,0,0,65,0,0,0,0,162,60
R,65,29,32,51,9,59,0,0,35,33,67,28,38,57,0,55,0,0,33,36,61,0,0,0,53,150,71
A,0,0,47,66,0,0,11,56,44,21,0,81,42,47,58,40,24,0,0,58,59,0,0,0,51,150,101
A,0,0,12,36,0,0,7,30,23,10,0,31,13,22,14,14,28,12,17,26,27,1,0,0,25,75,54
C,0,39,34,39,35,22,19,0,0,0,39,0,0,0,0,45,0,0,0,0,14,43,25,33,26,90,87
D,132,59,44,11,0,78,0,2,53,63,83,0,0,0,80,83,0,0,3,92,103,55,57,65,3,216,139
C,84,77,44,65,90,86,0,0,0,0,77,0,0,0,0,102,0,0,0,0,33,85,52,55,84,216,201
E,74,33,24,28,16,70,0,0,0,0,71,28,23,0,0,59,0,0,0,0,64,30,23,28,24,139,65
E,86,32,32,34,28,69,0,0,0,0,82,32,24,0,0,68,0,0,0,0,83,31,32,32,31,189,80
G,19,72,53,21,0,66,0,0,0,0,60,0,4,33,36,64,0,3,74,19,46,54,49,64,0,152,130
G,9,37,32,11,0,36,2,0,0,0,26,0,7,16,12,33,0,25,36,12,23,31,31,13,0,66,78
G,45,67,60,64,14,64,0,0,0,0,57,0,2,30,30,67,0,3,83,43,44,56,53,66,0,154,151
G,35,75,64,71,18,66,0,0,0,0,53,0,0,50,70,67,0,0,36,23,39,63,54,66,0,138,162
G,33,75,61,73,18,68,0,0,0,0,56,0,0,0,0,71,0,0,66,89,33,72,45,83,4,147,154
F,33,38,28,29,21,41,16,0,0,0,44,40,18,0,0,59,3,0,0,0,57,0,0,0,0,153,68
P,99,38,42,46,48,77,0,0,2,86,89,36,34,38,7,73,0,0,0,0,72,0,0,0,0,198,89
Q,37,67,51,66,14,62,0,0,1,70,52,0,0,0,56,60,0,0,51,65,29,60,40,67,80,146,124
Q,9,24,21,15,0,26,1,0,20,11,21,0,2,6,15,24,6,8,27,20,4,18,15,18,17,54,51
S,75,55,51,56,0,76,0,0,0,0,30,57,47,53,37,0,0,0,0,72,56,52,39,47,64,176,129
S,23,26,21,22,0,36,1,0,0,0,11,25,20,23,10,0,0,0,2,32,22,22,17,26,13,82,49
S,18,25,18,22,13,34,3,0,0,7,6,21,18,22,3,3,1,0,6,27,9,23,18,22,19,75,47
